"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"SM3464-29",55.4358568459825,TRUE,33.42,39.62,1.59,40.35,2.29,1.02,1.1,13.58,8.98,89.84,228.38,141.56,30.33,1.13,1.02,1.18,2.63,39.16,1.8,0.59,2.57,2.8,1.53,24.46,1.03,4.22
"SM2775-4_is_Bellotti",52.6992747585501,TRUE,35.83,32.65,1.6,40.77,1.84,1.33,1.04,12.16,8.92,89.16,236.76,98.79,28.71,1.17,1,1.05,2.62,32.85,1.35,1.03,3,3,1.58,20.55,1.03,4.19
"SM1411-5_is_Sinuana",44.7887629606169,TRUE,33.65,34.62,2.16,41.11,3.16,1.12,1.06,12.08,9,89.96,242.59,78.56,23.97,1.14,1.03,1.18,2.63,32.31,1.57,0.5,2.8,3.02,1.8,21.11,1.05,4.31
"GM9108-5",43.5464083340907,TRUE,35.49,29.93,2.17,43.53,0.85,1.96,1.14,10.88,8.13,81.25,229.28,157.01,32.79,1.37,1.02,1.12,2.63,26.63,1.17,0.68,2.78,2.83,1.72,18.39,1.07,4.14
"GM9124-12",43.315393157554,TRUE,36.94,25.88,2.02,44.82,1.43,1.43,1.06,9.96,9.32,93.2,227.72,157.47,27.22,1.12,1.01,1.16,2.64,24.6,1.28,1.08,2.76,3.02,2.21,16.12,1.31,4.05
"SM2792-31_Melua31",41.0591243531665,TRUE,33.05,32.41,2.03,43.47,2.37,1.21,1.05,11.16,8.71,87.11,240.63,132.3,25.57,1.13,1.02,1.15,2.63,31.07,1.57,0.61,2.86,3.02,1.68,20.23,1.19,4.2
"SM1427-1",39.9512696223759,TRUE,33.87,32.17,2.43,43.47,0.89,1.52,1.21,11.23,9.24,92.37,235.96,153.14,32.7,1.39,1.01,1.2,2.53,34.89,1.59,0.99,2.56,3,2.01,20.04,1.03,4.17
"GM8873-2",39.8520289736288,TRUE,33.73,28.4,1.73,NA,1.55,1.38,NA,10.17,7.81,78.08,254.96,182.17,29.01,1.25,NA,1.09,2.74,24.25,2.07,0.55,2.75,3,1.88,17.56,1.28,4.05
"GM8871-26",39.6563305554167,TRUE,36.3,23.52,1.84,NA,0.07,1.68,1.04,8.69,9.4,93.96,220.64,217.4,27.64,1.23,1.01,1.18,2.48,24.62,1.27,0.9,2.54,3,2.28,14.5,1.03,3.91
"GM8868-85",39.0342618100429,TRUE,35.9,23.73,1.81,43.24,0.72,1.23,1.05,8.92,8.4,83.97,232.09,186.19,32.14,1.18,1.01,1.08,2.67,25.75,1.63,0.61,2.92,3,2.2,14.57,0.97,3.99
"SM1511-6",38.9318682705356,TRUE,33.86,32.53,2.62,43.17,1.82,1.38,1.19,11.44,9.33,93.26,238.66,114.29,30.95,1.42,1.02,1.2,2.4,31.76,1.51,0.59,2.66,3.01,1.93,20.25,1.08,4.09
"CM9962-27",38.8088076872051,TRUE,32.5,32.03,2.05,42.27,0.75,2.97,1.25,10.76,7.54,75.36,247.86,221.13,38.88,1.34,1.01,1.14,2.65,25.46,1.18,0.63,2.67,1.12,1.8,19.75,1,4.23
"TAI8_is_TAI",38.116229487288,TRUE,32.68,30.18,1.88,39,2.16,3.1,1.09,10.1,8.55,85.48,209.51,115.33,24.62,1.28,1,1.22,2.48,29.5,1.17,0.84,2.45,1.02,1.75,18.69,1.07,3.95
"CM9912-167",38.0016134832064,TRUE,33.36,29.76,2.07,42.48,0.42,2.83,1.07,10.44,8.36,83.62,245.5,248.24,40.03,1.15,1.02,1.13,2.62,26.51,1.17,0.48,2.66,1.26,1.7,18.57,1.04,4.15
"GM1406-13",35.4913488033588,TRUE,33.89,29.33,2.51,NA,1.28,1.56,NA,10.88,8.21,82.1,241.41,185.26,29.6,1.65,NA,1.06,2.48,22.16,1.19,0.74,2.66,3,1.69,18.33,1.03,4.05
"CM9460-40",34.3276820324891,TRUE,32.24,28.79,1.96,45.08,2.07,2.23,1.05,9.44,8.1,80.97,263.89,126.45,28.09,1.38,1.02,1.35,2.66,27.53,1.53,0.69,2.93,3.01,1.76,17.73,1.12,4.38
"SMB2446-2_is_Caiseli",34.0691951127861,TRUE,35.25,19.07,1.39,NA,0,1.8,1.04,6.83,7.68,76.8,231.85,232.39,33.8,1.11,1,1.11,2.62,19.33,1.44,1.13,2.78,3,2.26,11.95,1.02,3.78
"CM3555-6_is_Sucrena",33.9431178547641,TRUE,31.58,29.26,1.85,42.65,0.93,1.69,1.06,9.37,6.82,68.17,224.64,193.31,30.07,1.25,1.02,1.28,2.64,29.02,1.57,1.19,2.93,2.26,1.94,18.12,1.03,3.95
"SM3134-73",32.3271580597214,TRUE,34.57,23.55,2.15,40.55,1.17,3.26,1.05,8.51,9.31,93.07,201.35,132.82,29.46,1.1,1.01,1.45,2.51,25.98,1.22,0.59,2.51,1.02,2.17,14.66,0.96,3.86
"CM4919-1_is_Veronica",32.3183550384535,TRUE,32.88,26.9,2.12,43.51,0.43,4.29,1.05,9.19,8.96,89.55,209.15,170.88,34.16,1.11,1,1.21,2.68,27.65,1.15,0.58,2.97,3.01,1.97,16.77,1.07,3.97
"SM3559-11",31.6318186632192,TRUE,35.62,21.82,2.32,NA,0.25,NA,1.06,8.13,6.08,60.78,237.32,227.85,34.56,1.25,1.02,NA,2.49,24.34,1.31,0.58,2.79,1.1,2.41,13.56,1.08,3.86
"SM1759-29",31.4598956644151,TRUE,34.24,23.15,2.07,NA,0.33,NA,1.12,8.34,6.45,64.53,228.25,210.11,34.22,1.29,1.02,NA,2.62,22.84,1.22,0.62,2.76,3.01,2.12,13.92,1.1,3.73
"SM3640-20",31.0362300985938,TRUE,34.26,25.25,2.5,NA,2.99,2.04,NA,9.16,6.44,64.45,224.76,116.97,21.53,1.2,NA,1.05,2.45,21.72,1.26,0.59,2.53,3.02,1.85,15.74,1.04,4.15
"SM2828-28",31.0185633825917,TRUE,35.75,24.92,2.99,44.37,2.48,1.11,1.06,9.18,8.96,89.63,194.8,69.14,26.54,1.08,1.02,1.03,2.6,26.11,1.53,0.44,2.94,3.01,1.96,15.65,1.01,3.65
"SM1433-4",30.9749548860211,TRUE,33.7,29.11,2.98,44.01,2.77,3.63,1.06,10.05,9.35,93.54,219.72,81.7,24.16,1.45,1.02,1.53,2.64,28.93,1.48,0.51,2.89,1.19,2.07,17.93,0.97,4.21
"GM579-13",30.6907309184794,TRUE,34.12,27.57,2.9,41.91,3.18,NA,1.06,9.9,9.02,90.16,200.5,67.57,24.4,1.25,1.01,NA,2.64,26.23,1.42,0.55,2.89,1.43,1.86,16.62,1.56,3.99
"SM3106-14",30.5882177901253,TRUE,34.09,23.91,2.26,43.88,1.49,2.43,1.06,8.39,6.42,64.25,210.91,107.09,27.66,1.18,1.01,1.67,2.57,21.24,1.26,0.81,2.92,1.1,2.04,14.98,1.51,3.8
"GM9125-5",30.2584399719066,TRUE,35.87,22.12,2.64,44.16,2.04,2.02,1.09,8.16,8.36,83.57,244.5,162.41,32.2,1.14,1.02,1.15,2.58,21.23,1.91,0.62,2.91,1.12,2.24,13.73,1.09,3.92
"SM1669-7",30.0870917161665,TRUE,34.45,21.71,2.07,NA,0.34,NA,1.05,7.8,7.9,79.04,224.33,208.14,34.67,1.28,1.02,NA,2.59,24.56,1.23,0.68,2.78,3.01,2.13,12.24,1.07,3.88
"SM1127-8_is_Cubana",29.762376056481,TRUE,33.19,23.59,1.98,42.28,1.93,2.52,1.04,8.17,9.44,94.37,237.14,181.79,27.51,1.14,1.02,1.27,2.53,22.84,1.58,0.55,2.53,1.96,1.94,14.14,1,4.17
"SM3641-2",29.3922077768899,TRUE,34.7,23.93,2.64,NA,2.03,1.42,NA,8.93,8.21,82.06,242.57,111.96,24.32,1.17,NA,1.4,2.54,23.52,1.61,0.68,2.63,2.99,2.45,14.77,1.07,4.24
"TME287",29.1489899466442,TRUE,30.41,27.52,1.73,NA,0.35,1.62,NA,9.04,7.76,77.62,231.28,214.22,29.11,1.35,NA,1.08,2.46,22.34,1.17,0.74,2.67,2.99,2.03,16.89,1.09,4.07
"VEN25",29.049192023109,TRUE,32.21,27.11,2.33,42.43,1.63,1.17,1.07,8.86,8.98,89.79,265.21,176.5,30.22,1.26,1.01,1.18,2.15,25.16,1.39,0.57,2.48,3.01,1.94,16.4,1.5,4.15
"AR35-1",28.844919014836,TRUE,33,26.11,2.47,NA,3.06,1.3,NA,8.74,7.87,78.67,237.81,110.6,30.27,1.22,NA,1.4,2.38,32.81,1.61,0.65,2.51,3.04,2.29,16.56,1.05,3.6
"CM6438-14_is_Vergara",28.4406638533207,TRUE,31.34,25.86,1.87,43.74,2.11,NA,1.04,8.8,7.05,70.49,248.29,127.98,28.98,1.28,1.02,NA,2.66,20.3,1.7,1.58,2.7,3.01,2.01,16.97,1.06,4.11
"GM9109-5",28.1795110428988,TRUE,36.88,18.21,2.59,NA,1.8,1.12,NA,7.09,7.95,79.5,194.62,112.64,23.45,1.12,NA,1.08,2.37,17.98,1.52,0.59,2.75,3,2.79,11.34,1.24,3.81
"SM3638-18",27.9571297485018,TRUE,31.79,23.2,1.63,NA,0.59,1.6,NA,7.99,7.55,75.5,226.93,189.62,29,1.12,NA,1.32,2.55,32.41,1.54,0.55,2.88,1.82,2.49,14.47,1.01,3.77
"CM9456-12",27.8152907349142,TRUE,34.25,16.48,1.37,NA,0.36,1.57,NA,5.81,7.87,78.71,245.07,223.53,34.29,1.21,NA,1.31,2.54,14.96,1.69,0.97,2.72,2.99,2.78,10.46,1.09,4.1
"SM643-17",27.5023756388856,TRUE,31.46,22.93,1.52,NA,1.26,1.14,NA,8.47,5.89,58.95,267.51,169.38,35.54,1.11,NA,1.4,2.47,28.57,1.79,0.71,3.04,3.01,2.36,14.66,1,3.96
"TME3",27.1975743126338,TRUE,31.74,25.6,2.13,42.6,0.96,1.17,1.1,8.2,8.79,87.87,207.81,139.29,29.45,1.15,1.02,1.13,2.66,22.41,1.35,0.57,2.76,2.58,1.92,15.67,1.28,3.71
"CG1141-1_is_Costena",26.6948686793381,TRUE,32.66,22.23,1.94,42.04,0.29,1.03,1.07,7.47,9.06,90.59,214.12,183.57,35.74,1.34,1.01,1.04,2.48,21.67,1.24,0.56,2.47,3.01,2.03,13.83,1.07,3.86
"BRA1016",26.373536611663,TRUE,31.3,28.14,2.52,NA,2.66,1.1,NA,9.19,8.57,85.67,276.99,129.73,29.43,1.42,NA,1.08,2.55,20.77,1.61,0.71,2.81,2.98,1.95,16.71,1.1,4.35
"SM2773-32",26.2437781567131,TRUE,37.54,15.42,2.59,44.2,1.79,NA,1.05,6.18,7.38,73.84,214.07,142.25,26.99,1.29,1.02,NA,2.22,17.72,1.43,0.58,2.88,3.03,2.84,9.31,1.06,3.68
"SM2973-42",26.1717822715714,TRUE,30.85,29.73,2.66,42.95,2.73,0.93,1.06,9.51,8.23,82.25,219.03,89.88,21.57,1.3,1.02,1.17,2.65,27.86,1.51,0.99,2.81,3.01,1.79,18.75,0.99,4.01
"GM8716-1",25.8449949244864,TRUE,32.05,24.65,2.25,43.93,1.6,2.04,1.1,8.07,9.14,91.43,252.11,149.94,31.77,1.51,1.02,1.16,2.57,24.76,1.54,0.53,2.55,3.01,1.81,15.17,1.05,4.14
"CM6740-7_is_Reina",25.8371665354062,TRUE,30.93,26.64,2.19,NA,0.21,NA,1.07,8.39,7.36,73.55,257.84,259.95,33.48,1.29,1.02,NA,2.65,24.46,1.51,0.61,2.9,2.87,1.87,15.44,1.11,4.03
"CM5253-1",25.808733132412,TRUE,31.86,27.3,2.65,42.91,3.18,NA,1.06,9.16,8.81,88.12,194.4,61.92,26.52,1.31,1.03,NA,2.57,25.45,1.2,0.49,2.76,3.03,2.07,16.37,1.08,3.79
"Chocoana",25.7340259289194,TRUE,30.72,28.2,2.4,42.79,3.25,1.52,1.08,8.84,8.47,84.73,238.56,97.8,23.15,1.3,1.02,1.17,2.62,27.21,1.81,0.62,2.73,3.01,2.03,17.82,1.16,4.22
"HB60",25.1994370302006,TRUE,32.23,28.99,3.16,40.27,0.38,NA,1.18,9.67,9.04,90.44,250.43,230.87,32.02,1.84,1.03,NA,2.58,25.87,1.39,0.63,2.55,1.26,1.96,15.34,2.79,4.1
"SM3461-2",24.6242182335775,TRUE,34.48,24.33,3.24,NA,3.13,1.25,NA,8.71,7.49,74.93,242.73,103.68,23.53,1.41,NA,1.11,2.44,NA,1.78,NA,2.79,2.98,1.76,14.9,NA,4.12
"SM3110-15",24.3082706336634,TRUE,33.9,26.45,3.44,43,2.98,2.92,1.06,9.5,7.78,77.82,203.94,73.1,26.26,1.48,1.02,1.65,2.55,26.71,1.38,0.6,2.88,1.04,1.87,16.21,0.97,3.86
"SM1565-17",24.1549830819444,TRUE,29.02,32.99,2.82,43.47,0.77,0.92,1.21,9.56,7.7,76.99,256.72,239.23,34.43,1.41,1.02,1.17,2.33,23.45,1.16,1,2.26,3.02,1.7,20.75,0.97,4.2
"SM3386-49",24.1106889638002,TRUE,32.8,24.27,2.68,NA,2.08,1.3,NA,8.42,6.88,68.76,216.06,125.82,23.02,1.13,NA,1.39,2.42,28.41,1.73,0.5,2.75,2.24,2.29,15.06,1.02,3.82
"GM8868-59",24.047183579415,TRUE,33.98,16.46,1.75,NA,1.53,2.22,NA,5.98,8.15,81.52,249.52,157.86,32.46,1.32,NA,1.4,2.63,20.61,1.6,0.58,2.97,1.39,2.89,10.51,1.08,4.2
"SM2081-34",23.5662361213928,TRUE,31.48,24.12,2.24,44.78,2.44,1.61,1.05,7.64,8.29,82.94,232.89,101.02,30.36,1.12,1.01,1.15,2.51,23.26,1.57,0.6,2.26,2.85,2.15,14.7,1.12,3.98
"CR52A4",23.0107920937123,TRUE,31.37,30.1,3.32,NA,3.78,1.1,NA,9.86,7.68,76.79,247.08,82.1,21.66,1.12,NA,1.08,2.64,28.28,1.39,0.84,2.71,2.97,1.63,18.61,1.06,4.24
"PAN70",22.944693341885,TRUE,29.71,24.91,1.81,NA,0.03,1.06,1.06,7.5,9.38,93.78,261.74,272.86,26.45,1.11,1.02,1.17,2.64,27.19,1.72,0.5,2.87,2.94,2.24,15.6,1.03,4.34
"SM4794-8",22.7794554274887,TRUE,32.21,26.81,3.08,NA,3.1,1.47,NA,9.06,8.2,82.03,252.59,94.61,24.5,1.68,NA,1.56,2.55,20.08,0.99,0.6,2.57,2.98,1.75,16.33,1.05,4.45
"SM4708-36",22.5248228017122,TRUE,32.43,26.45,3.13,NA,3.34,1.44,NA,9.02,7.77,77.75,230.85,67.7,27.34,1.44,NA,1.21,2.66,20.63,1.48,0.61,2.65,2.75,2.03,16.22,1.1,4.16
"AR17-3",22.4161330377948,TRUE,30.87,25.01,2.32,NA,1.46,2.17,NA,8.41,7.44,74.36,234.05,108.32,24.02,1.28,NA,1.13,2.58,NA,1.73,NA,2.83,1.18,1.93,15.32,NA,3.94
"CR61A-1",22.1617009065262,TRUE,33.05,24.15,3,NA,4.06,4.07,NA,8.39,7.48,74.76,221.86,56.81,25.07,1.27,NA,1.56,2.59,20.48,1.81,0.55,2.77,1.13,2.48,14.86,1.32,4.07
"COL1516",22.0113129910465,TRUE,30.68,28.93,2.99,NA,2.93,1.77,NA,9.42,8.72,87.2,247.07,136.48,26.31,1.77,NA,1.08,2.57,27.27,1.42,0.61,2.74,2.64,1.76,17.73,1.08,4.34
"SM1669-5",21.9542030959518,TRUE,31.97,22.32,2.31,43.6,1.09,1.64,1.08,7.4,7.54,75.43,231.69,148.16,30.55,1.41,1.02,1.15,2.56,21.64,1.36,0.8,2.92,3.01,2.1,13.52,0.98,3.8
"GM8659-35",21.7988697788961,TRUE,32.3,19.01,1.87,NA,0.47,4.19,NA,6.52,8.3,82.99,210.97,178.12,34.24,1.32,NA,1.08,2.4,17.44,1.14,0.8,2.71,2.99,2.12,11.7,1.01,3.77
"SM3387-40",21.7727091207997,TRUE,33.01,17.11,1.8,NA,0.52,2.02,NA,6.18,7.5,75.01,280.26,259.02,41.9,1.44,NA,1.27,2.7,15.84,1.47,0.66,2.9,2.95,2.52,10.94,1.17,3.96
"SM1521-10",21.7352865795777,TRUE,30.85,23.7,2.17,43.21,1.7,1.6,1.08,7.49,6.68,66.8,234.34,184.06,27.86,1.16,1.01,1.28,2.42,21.56,1.53,0.79,2.75,1.43,1.92,14.71,1.11,3.92
"Azulita",21.6529548537359,TRUE,32.03,21.12,2.16,45.22,3.02,NA,1.07,6.92,8.55,85.53,246.58,113.51,27.4,1.28,1.02,NA,2.66,21.81,1.67,0.62,2.9,3.03,2.17,12.54,1.04,4.07
"SM3553-27",21.5898925149193,TRUE,32.67,22.93,2.72,NA,0.32,1.18,NA,7.97,8.11,81.08,265.78,238.4,31.76,1.78,NA,1.12,2.43,24.78,1.48,0.66,2.57,3.01,2.27,14.48,1.08,3.84
"SM3137-40",21.469434033169,TRUE,35.1,20.62,3.22,43.85,2.01,2.25,1.06,7.42,7.82,78.23,202.24,101.79,22.89,1.24,1.02,1.27,2.49,20.22,1.35,1.2,2.53,3.01,2.49,12.77,0.98,3.6
"CM523-7_is_Catumare",21.3793864596392,TRUE,32.96,24.28,3.09,43.46,3.23,1.45,1.1,8.33,8.95,89.53,241.39,100.7,21.71,1.51,1.02,1.17,2.65,23.31,1.68,0.71,2.93,3.01,2.4,15.14,1.11,4.08
"GM971-2",20.2485113159617,TRUE,30.85,25.75,2.72,44.09,2.52,1.24,1.06,8.39,8.3,83,222.16,124.68,23.14,1.23,1.02,1.15,2.48,28.26,1.3,1.19,2.89,2.69,2.28,16.42,1.14,4.13
"AR42-3",19.5467555658692,TRUE,31.24,23.17,2.5,NA,3.03,1.75,NA,7.5,7.82,78.2,239.76,97.53,25.86,1.34,NA,1.93,2.73,15.23,1.75,0.54,2.67,1.14,2.94,14.1,1.11,4.09
"FALSAREINA",18.6908918542607,TRUE,30.74,26.04,2.93,43.3,3.25,1.4,1.06,8.21,7.94,79.42,243.44,87.34,22.78,1.42,1.01,1.12,2.65,20.24,1.25,0.62,2.71,2.91,1.93,16.31,1.01,4.26
"GM4034-1_is_Reina_wx",18.4002032939763,TRUE,32.24,23.78,3.12,42.71,3.54,1.52,1.04,7.91,8.7,86.97,194.07,66.99,21.15,1.41,1.01,1.21,2.68,22.5,1.21,0.47,2.9,1.1,2.14,14.77,1.13,3.72
"GM3518-42",18.175583092485,TRUE,27.9,26.12,1.97,42.25,2.4,NA,1.07,7.41,9.01,90.12,255.23,137.99,27.84,1.29,1.03,NA,2.59,27.87,1.63,0.6,2.85,3.02,2.08,14.66,1.06,4.06
"SM2192-6",18.0300189512975,TRUE,32.47,19.61,2.52,43.72,0.68,1.77,1.15,6.58,6.78,67.78,204.56,141.35,33.1,1.38,1.02,1.17,2.67,19.18,1.26,0.79,2.91,1.11,2.38,12.41,1,3.74
"SM805-15",17.9701162930012,TRUE,32.23,24.57,3.31,42.22,3.25,2.63,1.06,8.14,9.37,93.73,210.31,101.72,24.37,1.42,1.02,1.14,2.55,27.78,1.38,0.79,2.91,2.42,2.23,15.21,0.98,3.8
"SM4517-33",17.9544544094765,TRUE,33.45,25.09,3.85,42.66,4.1,1.72,1.05,8.76,7.65,76.51,272.53,72.85,28.99,2.18,1.15,1.25,2.63,21.23,1.42,0.59,2.9,3.01,2.26,16.05,1,4.22
"SM2834-31",17.5640432581665,TRUE,32.58,27.02,3.92,43.06,2.82,NA,1.05,9.37,8.76,87.61,219.61,82.23,26.63,1.62,1.02,NA,2.45,25.22,1.18,0.5,2.51,2.06,2.12,16.24,1.08,3.83
"CUB46",17.2321453044469,TRUE,29.97,22.08,2.14,42.66,0.48,1.72,1.09,6.77,6.66,66.6,224.77,218.75,27.43,1.13,1.02,1.48,2.66,20.87,1.72,0.79,2.93,1.05,2.31,13.87,1.02,3.88
"CR24-3",16.7199908363323,TRUE,29.57,26.36,2.81,NA,2.71,2.15,NA,8.47,6.92,69.21,243.44,109.19,27.69,1.33,NA,1.17,2.55,NA,1.69,NA,2.77,3.02,2.68,16.09,NA,4.07
"SM3150-17",16.5438536725936,TRUE,33.54,21.65,3.46,44.44,3.63,1.47,1.21,7.44,8.39,83.91,204.21,79.52,25.3,1.54,1.03,1.12,2.6,22.47,2.09,0.68,2.72,2.87,2.51,13.57,1.01,3.76
"SM3139-22",16.2527454825789,TRUE,34.36,20.98,3.68,42.25,2.31,1.65,1.05,7.51,8.8,88.01,204.62,80.26,28.45,1.92,1.15,1.27,2.58,21.09,1.41,0.7,2.93,2.69,2.34,12.91,1.02,3.71
"CM9067-2",16.1334839065681,TRUE,31.76,21.76,2.88,43.18,1.81,1.22,1.04,7.07,7.33,73.28,214.71,157.96,30.21,1.36,1.01,1.24,2.12,20.26,1.26,0.68,2.47,2.83,2.35,12.99,1.04,3.62
