"accession_name","index","selected","DM_gravity","yield_ha","plant_type","branch_angle","branch_number","carotenoid1_8","CBB_3mon","DM_yield_ha","germinated_number_plot","germination_perc","height","height_1st_branch","height_wt_leaf","lodging1_3","lodging1_3_6mon","root_constriction1_3","root_length1_3","root_number_commercial","root_peduncle1_3","root_rot_number","root_shape1_6","root_skin_color1_3","root_type1_5","root_weight_plot","thrips1_5","vigor1_5"
"GM10194-1",-13.7367716273666,FALSE,26.38,13.36,3.26,41.53,3.53,NA,1.16,4.06,4.13,41.27,297.67,148.13,23.07,1.64,1.08,NA,2.08,12.44,1.96,0.98,2.63,2.31,3.72,10.74,1.08,4.2
"AR9-14",-13.9200524484113,FALSE,28.72,11.42,3.8,NA,4.42,1.48,NA,3.55,3.73,37.34,232.06,62.67,20.37,1.42,NA,1.68,2.57,13.54,1.74,0.51,2.79,2.98,3.02,7.54,1.03,4.02
"GM3738-25",-13.9297643932948,FALSE,26.66,7.79,2.41,41.66,3.52,5.25,1.1,2.31,5.74,57.38,265.48,97.74,25.56,1.12,1.02,1.75,2.32,6.33,2.49,0.57,2.91,3.02,3.86,5.11,1.08,4
"SM4876-1",-14.0216746832724,FALSE,26.92,12.31,3.31,44.18,4.27,5.03,1.06,4.2,4.32,43.18,259.13,68.39,26.83,1.71,1.16,1.22,2.49,12.26,1.54,0.7,2.67,2.69,2.9,8.19,1.03,3.77
"BRA787",-14.4044080391189,FALSE,27.02,12.05,3.35,NA,2.67,1.82,NA,3.62,7.04,70.38,257.33,123.32,25.69,2.14,NA,1.19,2.5,17.69,1.88,0.57,2.96,1.07,3.62,8.02,1.14,3.95
"SM4576-66",-14.7269959279141,FALSE,27.83,9.44,3.23,43.87,3.44,5.57,1.1,2.79,6.62,66.24,299.16,182.44,29.42,2.22,1.04,1.18,2.1,8.17,2.19,0.62,2.76,3.01,3.57,6.05,1.07,4.49
"SM4565-1",-14.7618975762254,FALSE,28.26,9.03,3.32,NA,4.24,6.15,NA,2.53,6.46,64.6,253.85,78.14,25.42,1.52,NA,1.05,2.52,7.36,1.88,0.68,2.96,3.01,3.11,5.84,1.03,4.03
"GM10054B-3",-15.294831045052,FALSE,28.11,13.4,4.1,45.9,4.04,1.4,1.05,4.05,7.06,70.62,257.44,72.74,28.55,2.54,1.03,1.28,2.05,14.29,2.1,0.61,2.75,3,3.35,8.81,1.68,3.88
"SM4864-33",-15.8933587497871,FALSE,26.97,9.7,3.11,43.4,3.22,NA,1.07,2.73,3.83,38.35,326.74,160.08,23.05,1.45,1.02,NA,1.96,9.12,1.87,1.12,2.7,3,3.44,7.78,1.08,4.24
"GM7671-9",-15.9013828809085,FALSE,28.78,11.16,4.03,44.69,4.46,1.96,1.11,3.36,4.72,47.23,253.33,60.3,24.46,2.53,1.01,1.29,2.14,10.49,1.77,0.58,2.86,2.94,3.25,7.27,1.93,3.83
"SM4436-1",-16.2842278872041,FALSE,25.8,8.95,2.6,NA,4.36,5.4,NA,2.29,2.54,25.43,307.33,92.9,22.04,1.39,NA,1.15,2.46,11.66,1.52,0.58,2.83,3.04,2.96,5.81,1.09,3.82
"GM8375-58",-16.612501712489,FALSE,25.39,14.24,3.42,41.84,3.12,NA,1.33,3.52,4.81,48.08,293.12,164.79,25.49,2.25,1.02,NA,2.57,14.59,2.21,0.51,2.88,3.01,2.94,9.13,1.08,4.41
"SM5008-11",-16.6698642991144,FALSE,27.57,9.42,3.38,44.93,3.27,NA,1.05,2.48,3.6,36.02,264.77,133.3,20.84,1.34,1.03,NA,2.32,10.79,1.7,0.58,2.89,2.86,3.5,6.47,1.02,3.88
"PER497",-16.7468239450514,FALSE,26.96,11.72,3.57,44.63,2.94,1.51,1.09,2.94,5.49,54.86,267.9,103.8,31.05,1.73,1.01,1.45,2.38,10.17,2.18,0.88,2.88,3.01,2.8,12.8,1.1,4.03
"AR23-1",-16.7672941480849,FALSE,27.98,11.4,3.89,NA,4.08,2.85,NA,3.17,7.96,79.65,210.81,59.26,21.34,1.4,NA,1.51,2.4,12.8,2.09,0.57,2.96,3.01,3.62,7.47,2.63,3.87
"COL40",-16.9617111034656,FALSE,31.03,6.83,4.23,44.87,2.84,NA,1.11,2.44,4.21,42.08,221.44,69.18,21.68,2.14,1.43,NA,1.98,11.24,2.27,0.6,2.88,3.03,3.38,5.27,1.12,3.61
"AR18-1",-17.4320288851609,FALSE,23.5,15.25,3.01,NA,2.03,2.84,NA,4.76,4.96,49.61,227.49,119.54,27.09,1.68,NA,1.4,2.59,NA,2.12,NA,2.81,1.12,2.92,9.72,NA,3.73
"SM4423-1",-17.4400558255151,FALSE,24.11,12.66,2.78,NA,3.26,6.14,NA,3.22,6.31,63.07,242.26,120.11,29.85,1.77,NA,1.09,2.22,16.06,1,0.61,2.79,2.99,2.91,8.29,1.05,3.77
"BRA847",-17.5420732208337,FALSE,29.42,9.14,4.12,NA,3.19,1.33,NA,2.81,8.32,83.2,190.07,68.16,20.05,2.13,NA,1.17,2.17,14.67,1.36,0.62,2.9,3.01,3.01,6.31,1.04,3.6
"GM11984-2",-17.6417873580727,FALSE,27.9,8.82,3.52,NA,3.25,1.85,NA,2.43,6.42,64.24,241.63,87.59,25.26,1.92,NA,1.11,2.18,12.18,1.15,0.65,2.49,3.01,2.99,5.91,1.09,3.77
"SM4358-15",-17.8378926902059,FALSE,26.8,8.18,3.03,44.08,3.49,5.29,1.06,2.41,3.84,38.39,245.29,92.52,26.41,1.35,1.03,1.44,2.37,10.64,1.96,0.65,2.86,3.01,2.94,5.96,1.08,3.97
"COL2212",-17.9733367536927,FALSE,26.26,14.68,3.99,NA,3.93,1.07,NA,4.43,6.43,64.27,214.82,70.33,19.07,1.64,NA,1.35,2.57,17.64,1.54,1,2.97,3.01,3.01,9.5,3.23,3.73
"SM4855-24",-18.0644889928791,FALSE,26.68,10.83,3.48,46.11,3.69,NA,1.06,2.68,4.93,49.31,250.81,67.61,25.23,1.25,1.02,NA,2.65,8.73,1.83,0.59,2.9,3.02,3.4,6.85,1.07,3.91
"SM4852-8",-18.0838003899991,FALSE,25.98,11.65,3.37,41.18,3.68,5.45,1.12,3.3,4.24,42.39,269.66,109.79,22.65,1.49,1.01,1.2,2.55,13.55,2.47,0.68,2.92,3,2.77,8.32,1.12,4.17
"GM5202-2",-18.1573558599773,FALSE,25.72,12.31,3.4,44.31,3.93,NA,1.04,3.05,6.68,66.79,228.03,74.51,20.24,1.4,1.02,NA,2.41,8.38,2.19,0.64,2.89,3.04,3.23,7.69,1.06,3.91
"PER206",-18.3379310287382,FALSE,25.77,9.68,2.98,42.8,2.18,1.2,1.09,2.7,7.35,73.48,297.87,218.08,34.24,2.18,1.02,1.18,2.22,8.91,2.21,0.69,2.66,3.02,3.15,6.06,1.18,4.47
"SM3878-111",-18.3764867103617,FALSE,25.15,9.92,2.8,40.12,3.78,NA,1.05,1.9,5.17,51.69,263.33,123.63,21.64,1.41,1.03,NA,2.03,8.25,1.51,0.68,2.51,3.02,3.28,6.36,1.07,3.93
"AM1531-9",-18.5394256763023,FALSE,30.32,1.86,3.3,40.1,2.27,NA,1.09,1.9,3.34,33.4,228.08,138.58,27.43,1.42,1.05,NA,2.35,7.9,1.68,0.7,2.8,3.06,3.69,4.59,1.2,3.76
"SM4437-13",-18.6847914763089,FALSE,24.53,13.44,3.23,42.62,2.93,5.39,1.05,3.8,4.77,47.71,262.96,159.46,30.08,1.95,1.01,1.49,2.07,12.65,1.39,0.57,2.91,3.02,3.08,8.57,1,3.83
"SM4515-6",-18.8055262993217,FALSE,23.27,12.22,2.57,41.22,3.22,5.43,1.17,2.76,5.34,53.36,283.51,128.86,27.99,1.49,1.08,1.37,2.67,13.97,2.35,0.58,2.91,2.36,2.78,7.62,1.02,4.08
"GM10293-5",-18.9967057365919,FALSE,25.2,11.13,3.11,43.4,4.02,5.57,1.06,2.96,4.39,43.87,278.85,108.08,23.48,1.72,1.03,1.19,2.61,12.04,1.95,0.6,2.9,2.84,3.02,7.76,1.11,4.16
"PER333",-19.1931945894651,FALSE,22.08,13.11,2.34,NA,0.34,2.17,NA,3.14,5.61,56.13,262.54,238.99,30.83,1.77,NA,1.13,2.32,18.64,1.6,0.64,2.71,1.05,2.71,8.66,1.11,3.86
"GM10057-1",-19.2275299961004,FALSE,27.28,9.47,3.61,NA,3.94,1.62,NA,2.74,6.6,65.99,264.64,73.79,22.87,1.83,NA,1.36,2.61,10.66,1.89,1.69,2.76,2.77,3.31,6.11,1.01,4
"GM4694-22",-19.7620579398578,FALSE,24.06,12.78,3.08,42.46,2.91,1.61,1.05,2.92,7.06,70.58,241.6,94.4,21.32,1.47,1.02,1.17,2.09,10.72,1.17,0.72,2.31,3.02,2.9,7.88,1.06,4.01
"GM10299-4",-19.9921049471579,FALSE,23.26,12.8,2.82,40.3,1.47,5.25,1.13,2.87,4.65,46.51,270.92,116.35,30.74,1.39,1.01,1.23,2.33,13.37,1.27,0.69,2.38,3.02,2.85,8.03,1.03,3.86
"GM8326-1",-20.1815178647896,FALSE,26.41,6.6,2.91,44.02,3.43,NA,1.06,2.36,3.62,36.2,247.89,125.67,24.79,1.4,1.03,NA,2.56,17.68,1.92,0.69,2.84,2.97,3.48,6.27,1.07,3.92
"PER226",-20.2005199023846,FALSE,26.72,7.82,3.24,44.49,1.5,NA,1.65,1.91,7.54,75.41,304.32,244.11,38.22,1.53,1.03,NA,2.41,8.79,1.56,0.59,2.88,3.02,3.47,4.63,1.04,4.2
"GM9411-1",-20.4795559399466,FALSE,24.81,11.66,3.25,NA,3.15,7.45,NA,3.24,5.57,55.67,248,131.57,23.22,1.91,NA,1.23,2.23,NA,1.48,NA,2.65,2.96,3.12,7.67,NA,3.95
"GM9823-1",-20.5272220591289,FALSE,25.18,9.77,3.06,43.91,3.75,4.3,1.1,2.39,4.37,43.71,234.63,115.01,18.7,1.23,1.01,1.52,2.38,11.04,1.75,0.6,2.9,2.99,3.04,6.14,1,4.06
"SM4483-3",-21.1570737886081,FALSE,23.51,14.62,3.38,43.9,3.9,NA,1.06,4.24,3.85,38.54,261.76,85.52,22.55,1.68,1.02,NA,2.05,18.27,1.59,0.66,2.75,2.98,2.71,11.73,1.39,4.22
"SM4861-5",-21.575690777704,FALSE,25.97,8.61,3.28,43.13,3.66,NA,1.1,2.27,4.38,43.79,268.13,89.24,21.21,1.65,1.01,NA,2.39,6.04,2.61,0.58,2.89,2.89,3.99,5.44,1.12,4.22
"PER221",-21.8644706547189,FALSE,25.16,8.95,3.08,42.88,3.26,3.33,1.27,2.35,7.92,79.18,269.72,146.85,25.85,1.9,1.03,1.32,2.55,10.47,2.39,0.68,2.86,3.02,3.39,5.74,1.04,4.05
"COL2131",-23.4455758931088,FALSE,27.11,8.4,3.9,42.1,0.19,1.22,1.11,2.12,6.71,67.06,209.25,194.26,22.17,1.12,1.02,1.27,2.48,10.33,1.32,0.6,2.86,3.01,2.89,5,4.58,3.2
"SM4761-2",-23.8032509853286,FALSE,27.19,8.77,4.04,NA,3.15,2.04,NA,2.59,4.54,45.36,254.82,102.31,27.19,3.01,NA,1.19,2.47,10.12,1.27,0.59,2.78,3.03,2.77,5.81,1.08,3.72
"SM4854-18",-24.0247918965718,FALSE,23.94,12.2,3.48,43.11,3.8,4.99,1.03,2.68,4.54,45.41,265.08,115.83,21.56,1.74,1.09,1.2,2.54,13.08,1.98,0.62,2.9,3.02,2.71,7.93,1.05,4.23
"GUA24",-24.2433426657779,FALSE,25.63,10.85,3.89,43.76,2.92,1.76,1.22,2.88,6.67,66.65,267.78,122.66,30.02,2.54,1.42,1.26,2.51,9.75,1.96,0.69,2.59,3,2.71,6.31,1.07,3.98
"SM4864-20",-24.5008760752875,FALSE,25.69,7.63,3.38,41.97,2.58,4,1.04,1.75,4.74,47.38,333.03,200.68,35.15,1.97,1.08,1.23,2.38,6.72,2.19,1.07,2.9,3.02,3.37,4.83,1.04,4.27
"GM3732-22",-25.138062988549,FALSE,27.18,6.05,3.73,40.24,4.84,5.14,1.1,1.87,6.44,64.43,254.73,59.17,18.05,1.74,1.03,1.32,2.3,4.21,2.5,0.59,2.92,3,4.38,4.12,1.04,3.75
"GM10035-1",-25.3829534604123,FALSE,25.58,6.76,3.3,40.66,3.93,5.18,1.07,2.04,4.47,44.71,247.48,92.15,16.23,1.64,1.03,1.19,2.19,7.16,1.57,1.28,2.78,3.03,3.24,5.33,0.98,3.95
"GM10010-1",-25.5366942457714,FALSE,25.29,9.59,3.71,42.52,3.45,NA,1.05,2.77,3.79,37.93,246,64.67,21.12,1.83,1.02,NA,2.36,13.84,1.31,0.66,2.88,3.01,2.9,7.57,1.1,3.97
"GM10242-3",-25.7575984066982,FALSE,26.24,6.42,3.53,41.96,4.34,5.46,1.06,1.6,5.61,56.06,235.87,51.93,22.25,1.96,1.02,1.15,2.11,5.51,2.28,0.5,2.84,2.01,3.98,4.25,1.16,4.12
"GM7671-2",-26.468049180184,FALSE,26.44,8.79,4.11,41.58,3.04,NA,1.1,2.09,7.6,76.03,246.74,104.37,22.81,2.72,1.61,NA,2.24,8.1,1.45,0.72,2.64,3.01,3.44,5.2,1.36,4.19
"GM10057-13",-26.9636731872267,FALSE,27.58,4.51,3.84,NA,4.12,1.51,NA,1.18,5.09,50.87,228.8,60.72,29.25,1.79,NA,1.38,2.42,5.05,2.13,0.51,3,3.01,3.92,3.37,1.07,3.52
"GM10050B-1",-27.0223569755913,FALSE,26.17,10.83,4.44,43.72,2.53,2.09,1.06,2.92,4.54,45.38,203.99,57.84,24.54,2.05,1.28,1.26,2.24,10.69,1.48,0.7,2.69,2.87,3.08,7.1,3.77,3.35
"SM4289-438",-27.0367294567433,FALSE,22.82,12.34,3.48,NA,3.61,6.47,NA,2.55,3.64,36.4,227.93,66.9,21.2,1.31,NA,1.05,2.45,11.68,1.41,0.54,2.8,2.99,2.92,8.05,2.74,4.1
"GM10397-1",-27.173253925563,FALSE,24.04,9.01,3.36,43.34,4.24,NA,1.05,2.18,4.92,49.18,273.2,70.43,22.78,1.65,1.01,NA,2.13,7.87,2.32,0.46,2.58,1.89,3.73,6.18,1.09,4.26
"GM3594-77",-27.8939034338807,FALSE,26.38,4.74,3.56,42.71,3.64,4.84,1.11,0.98,5.34,53.43,291.45,109.95,25.84,2.15,1.03,1.15,2.23,3.86,1.82,0.84,3.01,3,4.11,2.81,1.07,4.16
"GM5201-13",-28.0531668689605,FALSE,24.9,5.49,3.17,43.47,4.27,4.6,1.1,1.28,3.68,36.79,262.34,94.28,22.59,1.25,1.03,1.24,2.51,3.66,1.98,0.58,2.9,3.04,3.97,3.71,1.14,3.75
"SM4871-39",-28.0933351043826,FALSE,24.69,6.07,3.2,41.59,3.28,NA,1.25,1.18,4.06,40.59,291.19,118.99,33.76,1.59,1.02,NA,2.17,4.32,2.07,0.65,2.89,3,3.77,4.64,1.09,4.04
"SM4475-74",-28.8547163281671,FALSE,28.91,3.66,4.42,44.23,3.35,NA,1.1,0.76,4.53,45.33,225.3,64.57,15.99,2.53,1.15,NA,2.14,5.69,2.25,0.7,2.86,2.99,4.24,2.69,1.1,3.38
"SM4484-18",-28.8759817659301,FALSE,25.01,5.23,3.27,40.67,3.31,NA,1.14,1.46,3.08,30.76,310.79,131.02,22.39,1.39,1.02,NA,2.56,7.69,2.06,0.69,2.99,3.02,2.42,4.59,1.04,4.08
"AM1587-1",-31.0806896225606,FALSE,27.11,1.86,3.73,NA,3.33,1.99,NA,0.33,6.37,63.65,226.57,92.72,22.67,1.78,NA,1.16,2.16,1.87,2.42,0.55,2.97,3.01,4.73,1.78,1.04,3.56
"SM3773-51",-31.4077425870783,FALSE,23.56,9.43,3.8,42.78,4.48,NA,1.04,1.86,7.15,71.49,258.68,68.97,21.64,1.55,1.01,NA,2.18,8.63,2.36,0.62,2.9,3.01,3.52,5.94,1.08,3.99
"SM4380-32",-31.5651718280564,FALSE,24.32,4.48,3.23,43.93,3.17,6,1.07,1.12,3.3,32.95,244.86,88.25,24.71,1.58,1.03,1.26,2.48,5.74,1.61,0.69,2.84,2.99,2.93,3.59,1.13,3.74
"CR100-2",-31.7685590482007,FALSE,26.8,4.57,4.18,NA,3.75,2.2,NA,1.14,5.99,59.9,219.18,56.99,20.88,1.45,NA,1.17,2.51,1.44,2.51,0.57,2.92,3.01,4.77,3.3,1.07,3.53
"SM4871-9",-31.9660806302449,FALSE,23.42,5.61,3.15,42.65,2.89,NA,1.12,1.74,4.09,40.95,285,125.06,26.58,1.71,1.03,NA,2.2,6.85,1.41,0.9,2.89,3.03,3.97,4.92,1.12,3.99
"GM10357-2",-32.3716485873143,FALSE,24.68,5.99,3.73,42.93,4.1,NA,1.12,1.63,3.61,36.07,275.7,129.41,20.06,1.38,1.03,NA,2.37,6.81,1.9,0.69,2.85,3,3.73,5.17,1.18,4.39
"GM9927-3",-32.8421550862531,FALSE,23.14,9.26,3.8,43.55,3.75,NA,1.05,2.01,4.73,47.3,299.05,137.34,29,2.39,1.08,NA,2.55,8.76,2.35,0.8,2.65,3.02,3.27,5.49,1.1,4.31
"GM4694-39",-33.3653904247539,FALSE,24.77,6.16,3.92,44.86,3.57,2.08,1.04,1.38,6.89,68.87,230.38,74.3,20.91,2.1,1.28,1.29,1.9,6.07,1.55,0.8,2.4,3.01,3.66,3.77,1.23,3.84
"GM9810-2",-33.8549618583394,FALSE,24.62,3.38,3.44,41.92,3.7,NA,1.12,0.88,3.16,31.58,273.72,103.88,23.21,2,1.31,NA,2.45,5.58,1.55,0.66,2.85,3.03,3.49,3.14,1.08,3.91
"GM10055A-1",-34.9556345516467,FALSE,23.86,7.64,4.05,44.92,4.54,NA,1.12,2.06,4.69,46.94,246.64,70.24,26.43,2.46,1.02,NA,2.19,7.52,2.1,0.56,2.51,1.11,4.08,5.8,1.99,3.58
"SM3759-36",-35.1456416238526,FALSE,21.46,6.64,3.02,43.89,2.61,NA,1.06,1.73,3.48,34.76,258.35,159.23,26.61,1.37,1.03,NA,2.39,9.04,1.2,0.69,2.72,2.99,3.4,5.59,2.24,3.97
"PER556",-35.4472198333427,FALSE,22.89,7.71,3.77,NA,0.56,2.36,NA,1.8,5.35,53.54,291.01,226.33,38.99,2.25,NA,1.12,2.32,9.68,1.84,1.21,2.8,2.98,3.47,5.28,1.05,3.87
"GM9810-3",-36.6499626320925,FALSE,24.43,5.1,4.03,43.43,4.44,4.28,1.06,1.15,4.47,44.67,236.28,63.1,19.51,2.33,1.02,1.41,2.32,4.6,2.23,0.76,2.85,3.01,3.86,3.39,1.03,3.59
"AM1521-3",-37.5936302327251,FALSE,23.14,6.42,3.91,43.07,4.02,NA,1.06,1.77,3.54,35.4,258.13,110.27,25.17,2.37,1.03,NA,2.39,8.63,1.74,0.78,2.71,2.99,2.91,5.71,1.08,4.15
"SM4864-1",-37.8025392354477,FALSE,21.98,3.73,3.04,40.72,3.36,NA,1.14,0.91,3.27,32.65,270.75,124.01,26.24,1.38,1.03,NA,2.36,9.03,1.55,0.68,2.85,3.01,3.97,3.64,1.1,3.99
"GM5259-1",-40.2075998175013,FALSE,22.38,5.7,3.84,43.84,3.45,NA,1.08,1.34,5.93,59.3,241.32,90.51,21.62,1.92,1.03,NA,2.22,6.38,1.75,0.79,2.29,2.03,3.76,3.83,1.15,3.82
"AM1286-2",-40.6822470920992,FALSE,18.33,12.61,3.63,NA,1.24,2.61,NA,2.26,7.12,71.22,279.27,191.36,31.04,2.16,NA,1.15,2.19,9.87,1.38,0.63,2.92,1.05,3.99,8.01,1.08,3.99
"GM10299-3",-41.326195569772,FALSE,22.46,1.24,3.23,43.72,1.91,NA,1.08,1.19,3.03,30.26,292.18,162.18,27.87,1.39,1.03,NA,2.56,7.5,1.29,0.7,2.84,2.99,3.83,3.57,1.01,3.91
"5G160-16",-42.4721291226148,FALSE,25.48,2.65,4.73,43.3,3.01,2.14,1.3,0.81,5.74,57.37,183.74,99.9,26.44,1.94,1.03,1.37,1.94,3.39,1.85,0.62,1.98,3.03,4.34,1.88,4.23,2.83
"CR100-9",-43.976466146341,FALSE,21.51,2.6,3.46,NA,3.55,2.19,NA,0.5,0.65,6.46,260.16,78.91,29.83,1.62,NA,1.79,2.55,0.81,2.29,0.53,3.01,3,4.24,2.23,1.05,3.9
"5G160-18",-44.3391294935735,FALSE,22.67,3.79,4.14,40.12,3.79,2,1.04,0.79,6.16,61.64,172.87,60.59,19.23,1.58,1.03,1.49,1.78,3.3,1.78,0.74,2.74,2.99,4.13,2.37,1.98,3.09
"5G160-13",-44.3762037559035,FALSE,21.42,6.03,4.08,40.37,3.5,1.3,1.06,1.1,4.86,48.62,188.61,64.93,19.34,1.82,1.02,1.32,1.72,3.75,1.2,1.18,2.18,1.04,4.19,3.25,3.43,3.05
"SM5020-4",-44.8690660045146,FALSE,21.93,2.44,3.7,42.79,2.64,NA,1.12,0.61,3.43,34.28,321.77,169.77,26.01,2.28,1.21,NA,2.19,4.49,1.61,0.91,2.88,3.02,3.92,2.75,1.08,4.28
"GM4694-4",-45.124903098874,FALSE,21.05,5.8,4,43.82,4.2,2.97,1.05,1.06,4.73,47.32,215.91,48.19,21.79,2.11,1.21,1.19,2.45,6.29,1.18,1.24,2.79,2.99,3.28,3.87,2.27,3.81
"GM3736-40",-48.6758876075454,FALSE,20.18,2.46,3.55,42.81,3.6,NA,1.06,0.21,3.81,38.07,245.34,57.2,25.4,1.84,1.09,NA,2.2,2.94,2,0.66,3.13,3,4.88,1.58,1.09,3.69
"GM4682-7",-50.5776486344791,FALSE,19.45,3.28,3.67,44.15,3.7,2.88,1.07,0.89,4.98,49.76,250.5,99.64,27.68,2.22,1.04,1.16,1.85,2.71,1.24,0.76,2.53,1.01,4.55,2.31,1.18,3.87
"AM1305-21",-63.9796957242579,FALSE,15.53,1.17,3.58,NA,1.51,2.96,NA,-0.28,6.46,64.65,235.19,163.09,20.38,2.14,NA,1.36,2.08,3.45,1.2,0.67,2.77,1.03,3.85,1.29,1.55,3.74
"SM5020-8",NA,NA,NA,1.69,NA,NA,NA,NA,1.06,NA,3,30,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,NA
"SM3387-4",NA,NA,31.77,16.1,NA,NA,NA,2.19,NA,5.17,7.18,71.81,258.88,224.66,30.66,NA,NA,1.4,2.44,NA,1.75,NA,3,2.98,2.92,10.23,NA,4.01
"AM1549-9",NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,3.66,36.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
